 INFO [2011-04-05 21:07:07,787] - Starting up
 INFO [2011-04-05 21:07:08,886] - NHibernate 3.1.0.4000 (3.1.0.4000)
 INFO [2011-04-05 21:07:08,887] - hibernate-configuration section not found in application configuration file
 INFO [2011-04-05 21:07:08,887] - Bytecode provider name : lcg
 INFO [2011-04-05 21:07:08,888] - Using reflection optimizer
 INFO [2011-04-05 21:07:08,973] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:07:08,991] - checking mappings queue
 INFO [2011-04-05 21:07:08,992] - processing one-to-many association mappings
 INFO [2011-04-05 21:07:08,992] - processing one-to-one association property references
 INFO [2011-04-05 21:07:08,992] - processing foreign key constraints
 INFO [2011-04-05 21:07:08,992] - processing filters (second pass)
 INFO [2011-04-05 21:07:08,999] - checking mappings queue
 INFO [2011-04-05 21:07:08,999] - processing one-to-many association mappings
 INFO [2011-04-05 21:07:08,999] - processing one-to-one association property references
 INFO [2011-04-05 21:07:08,999] - processing foreign key constraints
 INFO [2011-04-05 21:07:08,999] - processing filters (second pass)
 INFO [2011-04-05 21:07:09,000] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:07:09,000] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:07:09,002] - Obtaining IDbConnection from Driver
DEBUG [2011-04-05 21:07:09,011] - Closing connection
DEBUG [2011-04-05 21:07:09,011] - Disposing of ConnectionProvider.
 INFO [2011-04-05 21:07:09,012] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:07:09,014] - Running hbm2ddl schema update
 INFO [2011-04-05 21:07:09,014] - fetching database metadata
 INFO [2011-04-05 21:07:09,014] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:07:09,014] - Configuring ConnectionProvider
DEBUG [2011-04-05 21:07:09,015] - Obtaining IDbConnection from Driver
 INFO [2011-04-05 21:07:09,016] - updating schema
 INFO [2011-04-05 21:07:09,020] - checking mappings queue
 INFO [2011-04-05 21:07:09,020] - processing one-to-many association mappings
 INFO [2011-04-05 21:07:09,020] - processing one-to-one association property references
 INFO [2011-04-05 21:07:09,020] - processing foreign key constraints
 INFO [2011-04-05 21:07:09,020] - processing filters (second pass)
 INFO [2011-04-05 21:07:09,020] - schema update complete
DEBUG [2011-04-05 21:07:09,020] - Closing connection
 INFO [2011-04-05 21:07:09,021] - checking mappings queue
 INFO [2011-04-05 21:07:09,021] - processing one-to-many association mappings
 INFO [2011-04-05 21:07:09,021] - processing one-to-one association property references
 INFO [2011-04-05 21:07:09,021] - processing foreign key constraints
 INFO [2011-04-05 21:07:09,021] - processing filters (second pass)
 INFO [2011-04-05 21:07:09,035] - Using dialect: NHibernate.Dialect.MsSql2008Dialect
 INFO [2011-04-05 21:07:09,058] - Using dialect defined converter
 INFO [2011-04-05 21:07:09,058] - Generate SQL with comments: disabled
 INFO [2011-04-05 21:07:09,058] - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
 INFO [2011-04-05 21:07:09,058] - Configuring ConnectionProvider
